"Judgenum","judge","nomination_date","confirmation_date","confirmation_vote","appointed_by","pres_start_date","start_active_date","end_active_date","end_senior_date","court","court_type","months_from_inauguration"
212,"Boulware II, Richard Franklin",2014-01-16,2014-06-10,"58–35","Barack Obama",2009-01-01,2014-06-10,2018-02-23,4712-12-31,"D. Nev.","District",65
213,"Mendoza, Jr., Salvador",2014-01-16,2014-06-17,"92–4","Barack Obama",2009-01-01,2014-06-19,2018-02-23,4712-12-31,"E.D. Wash.","District",65
214,"Yandle, Staci Michelle",2014-01-16,2014-06-17,"52–44","Barack Obama",2009-01-01,2014-06-19,2018-02-23,4712-12-31,"S.D. Ill.","District",65
215,"Gayles, Darrin P.",2014-02-06,2014-06-17,"98–0","Barack Obama",2009-01-01,2014-06-19,2018-02-23,4712-12-31,"S.D. Fla.","District",65
216,"Byron, Paul G.",2014-02-06,2014-06-24,"94–0","Barack Obama",2009-01-01,2014-06-24,2018-02-23,4712-12-31,"M.D. Fla.","District",65
217,"Mendoza, Carlos Eduardo",2014-02-06,2014-06-24,"94–0","Barack Obama",2009-01-01,2014-06-27,2018-02-23,4712-12-31,"M.D. Fla.","District",65
218,"Bloom, Beth",2014-02-06,2014-06-24,"95–0","Barack Obama",2009-01-01,2014-06-25,2018-02-23,4712-12-31,"S.D. Fla.","District",65
219,"Crawford, Geoffrey W.",2014-05-20,2014-06-24,"95–0","Barack Obama",2009-01-01,2014-08-04,2018-02-23,4712-12-31,"D. Vt.","District",67
220,"White, Ronnie L.",2014-01-06,2014-07-16,"53–44","Barack Obama",2009-01-01,2014-07-17,2018-02-23,4712-12-31,"E.D. Mo.","District",66
221,"Birotte Jr., André",2014-04-03,2014-07-22,"100–0","Barack Obama",2009-01-01,2014-08-08,2018-02-23,4712-12-31,"C.D. Cal.","District",67
222,"Rosenberg, Robin L.",2014-02-26,2014-07-22,"100–0","Barack Obama",2009-01-01,2014-07-24,2018-02-23,4712-12-31,"S.D. Fla.","District",66
223,"deGravelles, John W.",2014-03-13,2014-07-22,"100–0","Barack Obama",2009-01-01,2014-07-23,2018-02-23,4712-12-31,"M.D. La.","District",66
224,"Moss, Randolph",2014-04-03,2014-11-13,"54–45","Barack Obama",2009-01-01,2014-11-14,2018-02-23,4712-12-31,"D.D.C.","District",70
225,"May, Leigh Martin",2014-01-06,2014-11-13,"99–0","Barack Obama",2009-01-01,2014-11-14,2018-02-23,4712-12-31,"N.D. Ga.","District",70
226,"Abrams, Leslie Joyce",2014-03-11,2014-11-18,"100–0","Barack Obama",2009-01-01,2014-11-20,2018-02-23,4712-12-31,"M.D. Ga.","District",70
227,"Cohen, Mark Howard",2014-01-06,2014-11-18,"voice vote","Barack Obama",2009-01-01,2014-11-20,2018-02-23,4712-12-31,"N.D. Ga.","District",70
228,"Ross, Eleanor Louise",2014-01-06,2014-11-18,"voice vote","Barack Obama",2009-01-01,2014-11-20,2018-02-23,4712-12-31,"N.D. Ga.","District",70
229,"Pepper, Pamela",2014-05-01,2014-11-20,"95–0","Barack Obama",2009-01-01,2014-12-08,2018-02-23,4712-12-31,"E.D. Wis.","District",71
230,"Sannes, Brenda K.",2014-05-08,2014-11-20,"96–0","Barack Obama",2009-01-01,2014-11-21,2018-02-23,4712-12-31,"N.D.N.Y","District",70
231,"Arleo, Madeline Cox",2014-06-26,2014-11-20,"voice vote","Barack Obama",2009-01-01,2014-11-21,2018-02-23,4712-12-31,"D.N.J.","District",70
232,"Beetlestone, Wendy",2014-06-16,2014-11-20,"voice vote","Barack Obama",2009-01-01,2014-11-21,2018-02-23,4712-12-31,"E.D. Pa.","District",70
233,"Bolden, Victor Allen",2014-06-16,2014-11-20,"49–46","Barack Obama",2009-01-01,2014-11-21,2018-02-23,4712-12-31,"D. Conn.","District",70
234,"Hale, David J.",2014-06-19,2014-12-03,"voice vote","Barack Obama",2009-01-01,2014-12-10,2018-02-23,4712-12-31,"W.D. Ky.","District",71
235,"Kearney, Mark A.",2014-06-16,2014-12-03,"voice vote","Barack Obama",2009-01-01,2014-12-04,2018-02-23,4712-12-31,"E.D. Pa.","District",71
236,"Pappert, Jerry",2014-06-16,2014-12-03,"voice vote","Barack Obama",2009-01-01,2014-12-04,2018-02-23,4712-12-31,"E.D. Pa.","District",71
237,"Stivers, Gregory N.",2014-06-19,2014-12-04,"voice vote","Barack Obama",2009-01-01,2014-12-05,2018-02-23,4712-12-31,"W.D. Ky.","District",71
238,"Leeson, Jr., Joseph F.",2014-06-16,2014-12-04,"76–16","Barack Obama",2009-01-01,2014-12-05,2018-02-23,4712-12-31,"E.D. Pa.","District",71
239,"Bough, Stephen R.",2014-01-16,2014-12-16,"51–38","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"W.D. Mo.","District",71
240,"Alonso, Jorge Luis",2014-08-05,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"N.D. Ill.","District",71
241,"Gilliam, Jr., Haywood Stirling",2014-09-08,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"N.D. Cal.","District",71
242,"Mehta, Amit P.",2014-07-31,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"D.D.C.","District",71
243,"Burroughs, Allison Dale",2014-07-31,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"D. Mass.","District",71
244,"Blakey, John Robert",2014-08-05,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"N.D. Ill.","District",71
245,"Mazzant III, Amos L.",2014-06-26,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"E.D. Tex.","District",71
246,"Pitman, Robert L.",2014-06-26,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"W.D. Tex.","District",71
247,"Schroeder III, Robert W.",2014-06-26,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"E.D. Tex.","District",71
248,"Azrack, Joan",2014-09-18,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"E.D.N.Y.","District",71
249,"Dillon, Elizabeth K.",2014-09-18,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"W.D. Va.","District",71
250,"Biggs, Loretta Copeland",2014-09-18,2014-12-16,"voice vote","Barack Obama",2009-01-01,2014-12-19,2018-02-23,4712-12-31,"M.D.N.C.","District",71
251,"Bennett, Alfred H.",2015-01-07,2015-04-13,"95–0","Barack Obama",2009-01-01,2015-04-15,2018-02-23,4712-12-31,"S.D. Tex.","District",75
252,"Hanks, Jr., George C.",2015-01-07,2015-04-20,"91–0","Barack Obama",2009-01-01,2015-04-22,2018-02-23,4712-12-31,"S.D. Tex.","District",75
253,"Parrish, Jill",2015-01-07,2015-05-21,"100–0","Barack Obama",2009-01-01,2015-08-17,2018-02-23,4712-12-31,"D. Utah","District",79
254,"Olvera, Jr., Jose Rolando",2015-01-07,2015-05-21,"100–0","Barack Obama",2009-01-01,2015-08-04,2018-02-23,4712-12-31,"S.D. Tex.","District",79
255,"Ketchmark, Roseann A.",2015-01-07,2015-09-08,"96–0","Barack Obama",2009-01-01,2015-09-14,2018-02-23,4712-12-31,"W.D. Mo.","District",80
256,"Drozd, Dale A.",2015-01-07,2015-10-05,"69–21","Barack Obama",2009-01-01,2015-11-02,2018-02-23,4712-12-31,"E.D. Cal.","District",82
257,"Donnelly, Ann",2015-01-07,2015-10-20,"95–2","Barack Obama",2009-01-01,2015-10-21,2018-02-23,4712-12-31,"E.D.N.Y.","District",81
258,"Vilardo, Lawrence J.",2015-02-04,2015-10-26,"88–0","Barack Obama",2009-01-01,2015-10-29,2018-02-23,4712-12-31,"W.D.N.Y.","District",81
259,"Hall, LaShann Moutique DeArcy",2015-01-07,2015-11-16,"93–1","Barack Obama",2009-01-01,2015-11-17,2018-02-23,4712-12-31,"E.D.N.Y.","District",82
260,"McDonough, Travis Randall",2015-01-07,2015-12-07,"89–0","Barack Obama",2009-01-01,2015-12-10,2018-02-23,4712-12-31,"E.D. Tenn.","District",83
261,"Wright, Wilhelmina",2015-04-15,2016-01-19,"58–36","Barack Obama",2009-01-01,2016-02-18,2018-02-23,4712-12-31,"D. Minn.","District",85
262,"Vazquez, John Michael",2015-03-26,2016-01-27,"84–2","Barack Obama",2009-01-01,2016-01-29,2018-02-23,4712-12-31,"D.N.J.","District",84
263,"Ebinger, Rebecca Goodgame",2015-09-15,2016-02-08,"83–0","Barack Obama",2009-01-01,2016-02-16,2018-02-23,4712-12-31,"S.D. Iowa","District",85
264,"Strand, Leonard Terry",2015-07-21,2016-02-11,"93–0","Barack Obama",2009-01-01,2016-02-12,2018-02-23,4712-12-31,"N.D. Iowa","District",85
265,"Crenshaw, Jr., Waverly D.",2015-02-04,2016-04-11,"92–0","Barack Obama",2009-01-01,2016-04-12,2018-02-23,4712-12-31,"M.D. Tenn.","District",87
266,"Xinis, Paula",2015-03-26,2016-05-16,"53–34","Barack Obama",2009-01-01,2016-05-18,2018-02-23,4712-12-31,"D. Md.","District",88
267,"Rossiter, Jr., Robert F.",2015-06-11,2016-06-27,"90–0","Barack Obama",2009-01-01,2016-06-29,2018-02-23,4712-12-31,"D. Neb.","District",89
268,"Martinotti, Brian R.",2015-06-11,2016-07-06,"92–5","Barack Obama",2009-01-01,2016-07-11,2018-02-23,4712-12-31,"D.N.J.","District",90
1,"Nye, David",2017-05-08,2017-07-12,"100–0[D 1]","Donald Trump",2017-01-01,2017-07-12,2018-02-23,4712-12-31,"D. Idaho","District",6
2,"Kelly, Timothy J.",2017-06-07,2017-09-05,"94–2[D 2]","Donald Trump",2017-01-01,2017-09-08,2018-02-23,4712-12-31,"D.D.C.","District",8
3,"Palk, Scott L.",2017-05-08,2017-10-26,"79–16[D 3]","Donald Trump",2017-01-01,2017-10-31,2018-02-23,4712-12-31,"W.D. Okla.","District",9
4,"McFadden, Trevor N.",2017-06-07,2017-10-30,"84–10[D 4]","Donald Trump",2017-01-01,2017-10-31,2018-02-23,4712-12-31,"D.D.C.","District",9
5,"Coggins Jr., Donald C.",2017-08-03,2017-11-16,"96–0[D 5]","Donald Trump",2017-01-01,2017-11-20,2018-02-23,4712-12-31,"D.S.C.","District",10
6,"Friedrich, Dabney L.",2017-06-07,2017-11-27,"97–3[D 6]","Donald Trump",2017-01-01,2017-12-01,2018-02-23,4712-12-31,"D.D.C.","District",11
7,"Campbell Jr., William L.",2017-07-13,2018-01-09,"97–0[D 7]","Donald Trump",2017-01-01,2018-01-12,2018-02-23,4712-12-31,"M.D. Tenn.","District",12
8,"Parker, Tommy",2017-07-13,2018-01-10,"98–0[D 8]","Donald Trump",2017-01-01,2018-01-30,2018-02-23,4712-12-31,"W.D. Tenn.","District",12
9,"Brown, Michael Lawrence",2017-07-13,2018-01-11,"92–0[D 9]","Donald Trump",2017-01-01,2018-01-17,2018-02-23,4712-12-31,"N.D. Ga.","District",12
10,"Counts III, Walter David",2017-09-11,2018-01-11,"96–0[D 10]","Donald Trump",2017-01-01,2018-01-17,2018-02-23,4712-12-31,"W.D. Tex.","District",12
NA,"Quattlebaum Jr., A. Marvin",2017-08-03,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D.S.C.","District",NA
NA,"Scholer, Karen Gren",2017-09-07,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"N.D. Tex.","District",NA
NA,"Self, Tripp",2017-07-13,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"M.D. Ga.","District",NA
NA,"Doughty, Terry A.",2017-08-03,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"W.D. La.","District",NA
NA,"Boom, Claria Horn",2017-06-12,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"E.D. Ky.W.D. Ky.","District",NA
NA,"Wier, Robert E.",2017-08-03,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"E.D. Ky.","District",NA
NA,"Baker, R. Stan",2017-09-07,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"S.D. Ga.","District",NA
NA,"Broomes, John W.",2017-09-07,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Kan.","District",NA
NA,"Jennings, Rebecca Grady",2017-09-07,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"W.D. Ky.","District",NA
NA,"Rodriguez Jr., Fernando",2017-09-07,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"S.D. Tex.","District",NA
NA,"Nielson Jr., Howard C.",2017-09-28,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Utah","District",NA
NA,"Sweeney II, James R.",2017-11-01,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"S.D. Ind.","District",NA
NA,"Baxter, Susan Paradise",2017-12-20,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"W.D. Pa.","District",NA
NA,"Connolly, Colm",2017-12-20,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Del.","District",NA
NA,"Dooley, Kari A.",2017-12-20,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Conn.","District",NA
NA,"Giampietro, Gordon P.",2017-12-20,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"E.D. Wis.","District",NA
NA,"Horan, Marilyn Jean",2017-12-20,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"W.D. Pa.","District",NA
NA,"Kenney, Chad F.",2017-12-20,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"E.D. Pa.","District",NA
NA,"Noreika, Maryellen",2017-12-20,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Del.","District",NA
NA,"Jung, William F.",2017-12-21,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"M.D. Fla.","District",NA
NA,"Otake, Jill",2017-12-21,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Haw.","District",NA
NA,"Ashe, Barry W.",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"E.D. La.","District",NA
NA,"Axon, Annemarie Carney",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"N.D. Ala.","District",NA
NA,"Beaverstock, Jeffrey Uhlman",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"S.D. Ala.","District",NA
NA,"Burke, Liles C.",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"N.D. Ala.","District",NA
NA,"Domenico, Daniel D.",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Colo.","District",NA
NA,"Farr, Thomas Alvin",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"E.D.N.C.","District",NA
NA,"Goodwin, Charles Barnes",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"W.D. Okla.","District",NA
NA,"Juneau, Michael J.",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"W.D. La.","District",NA
NA,"Kacsmaryk, Matthew J.",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"N.D. Tex.","District",NA
NA,"Marks, Emily Coody",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"M.D. Ala.","District",NA
NA,"Moorer, Terry F.",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"S.D. Ala.","District",NA
NA,"Norris, Mark",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"W.D. Tenn.","District",NA
NA,"Ray II, William McCrary",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"N.D. Ga.","District",NA
NA,"Richardson, Eli J.",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"M.D. Tenn.","District",NA
NA,"Teeter, Holly Lou",2018-01-08,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Kan.","District",NA
NA,"Barker, J. Campbell",2018-01-23,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"E.D. Tex.","District",NA
NA,"Kernodle, Jeremy D.",2018-01-23,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"E.D. Tex.","District",NA
NA,"Truncale , Michael J.",2018-01-23,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"E.D. Tex.","District",NA
NA,"Vitter, Wendy",2018-01-23,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"E.D. La.","District",NA
NA,"Albright, Alan D.",2018-01-24,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"W.D. Tex.","District",NA
NA,"Brnovich, Susan",2018-01-24,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Ariz.","District",NA
NA,"Lanza, Dominic W.",2018-01-24,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Ariz.","District",NA
NA,"Summerhays, Robert R.",2018-01-24,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"W.D. La.","District",NA
NA,"Brasel, Nancy E.",2018-02-15,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Minn.","District",NA
NA,"Kleeh, Thomas S.",2018-02-15,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"N.D.W. Va.","District",NA
NA,"Phipps, Peter J.",2018-02-15,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"W.D. Pa.","District",NA
NA,"Tostrud, Eric C.",2018-02-15,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"D. Minn.","District",NA
NA,"Williams, C. J.",2018-02-15,4712-12-31,"–","Donald Trump",2017-01-01,NA,NA,4712-12-31,"N.D. Iowa","District",NA
